text,crime_type,location,date,time,processed_text
A gang fight broke out in Saket between rival groups over control of a market area.,Gang Activity,"Saket, Delhi",10-12-2023,14:20:00,gang fight broke saket rival group control market area
"A human trafficking ring was busted in Connaught Place, rescuing 12 victims and arresting 6 suspects.",Human Trafficking,"Connaught Place, Delhi",11-12-2023,13:00:00,human trafficking ring busted connaught place rescuing victim arresting suspect
Arms smuggling was detected in Cyber City where illegal weapons worth INR 40 lakhs were seized.,Arms Smuggling,"Cyber City, Gurgaon",12-12-2023,08:30:00,arm smuggling detected cyber city illegal weapon worth inr lakh seized
Extortion was reported in Rohini where shopkeepers were threatened to pay protection money.,Extortion,"Rohini, Delhi",13-12-2023,22:00:00,extortion reported rohini shopkeeper threatened pay protection money
Racketeering was uncovered in Noida where a group was running an illegal betting operation.,Racketeering,"Noida, UP",14-12-2023,23:00:00,racketeering uncovered noida group running illegal betting operation
A gang fight erupted in Dwarka between two groups over control of a construction site.,Gang Activity,"Dwarka, Delhi",15-12-2023,21:10:00,gang fight erupted dwarka two group control construction site
"A human trafficking network was dismantled in Karol Bagh, rescuing 8 victims and arresting 4 suspects.",Human Trafficking,"Karol Bagh, Delhi",16-12-2023,10:15:00,human trafficking network dismantled karol bagh rescuing victim arresting suspect
Arms smuggling was detected in Greater Kailash where illegal firearms were being sold on the black market.,Arms Smuggling,"Greater Kailash, Delhi",17-12-2023,17:45:00,arm smuggling detected greater kailash illegal firearm sold black market
Extortion was reported in Saket where a businessman was forced to pay INR 15 lakhs to a gang.,Extortion,"Saket, Delhi",18-12-2023,02:30:00,extortion reported saket businessman forced pay inr lakh gang
Racketeering was uncovered in Connaught Place where a group was running an illegal drug distribution network.,Racketeering,"Connaught Place, Delhi",19-12-2023,19:50:00,racketeering uncovered connaught place group running illegal drug distribution network
A gang fight broke out in Cyber City between rival groups over control of a parking lot.,Gang Activity,"Cyber City, Gurgaon",20-12-2023,14:20:00,gang fight broke cyber city rival group control parking lot
"A human trafficking ring was busted in Rohini, rescuing 10 victims and arresting 5 suspects.",Human Trafficking,"Rohini, Delhi",21-12-2023,13:00:00,human trafficking ring busted rohini rescuing victim arresting suspect
Arms smuggling was detected in Noida where illegal weapons worth INR 30 lakhs were seized.,Arms Smuggling,"Noida, UP",22-12-2023,08:30:00,arm smuggling detected noida illegal weapon worth inr lakh seized
Extortion was reported in Dwarka where shopkeepers were threatened to pay protection money.,Extortion,"Dwarka, Delhi",23-12-2023,22:00:00,extortion reported dwarka shopkeeper threatened pay protection money
Racketeering was uncovered in Karol Bagh where a group was running an illegal gambling operation.,Racketeering,"Karol Bagh, Delhi",24-12-2023,23:00:00,racketeering uncovered karol bagh group running illegal gambling operation
A gang fight erupted in Greater Kailash between two groups over control of a residential area.,Gang Activity,"Greater Kailash, Delhi",25-12-2023,21:10:00,gang fight erupted greater kailash two group control residential area
"A human trafficking network was dismantled in Saket, rescuing 12 victims and arresting 6 suspects.",Human Trafficking,"Saket, Delhi",26-12-2023,10:15:00,human trafficking network dismantled saket rescuing victim arresting suspect
Arms smuggling was detected in Connaught Place where illegal firearms were being sold on the black market.,Arms Smuggling,"Connaught Place, Delhi",27-12-2023,17:45:00,arm smuggling detected connaught place illegal firearm sold black market
Extortion was reported in Cyber City where a businessman was forced to pay INR 25 lakhs to a gang.,Extortion,"Cyber City, Gurgaon",28-12-2023,02:30:00,extortion reported cyber city businessman forced pay inr lakh gang
Racketeering was uncovered in Rohini where a group was running an illegal liquor distribution network.,Racketeering,"Rohini, Delhi",29-12-2023,19:50:00,racketeering uncovered rohini group running illegal liquor distribution network
A gang fight broke out in Noida between rival groups over control of a market area.,Gang Activity,"Noida, UP",30-12-2023,14:20:00,gang fight broke noida rival group control market area
"A human trafficking ring was busted in Dwarka, rescuing 15 victims and arresting 5 suspects.",Human Trafficking,"Dwarka, Delhi",31-12-2023,13:00:00,human trafficking ring busted dwarka rescuing victim arresting suspect
Arms smuggling was detected in Karol Bagh where illegal weapons worth INR 50 lakhs were seized.,Arms Smuggling,"Karol Bagh, Delhi",01-01-2024,08:30:00,arm smuggling detected karol bagh illegal weapon worth inr lakh seized
Extortion was reported in Greater Kailash where shopkeepers were threatened to pay protection money.,Extortion,"Greater Kailash, Delhi",02-01-2024,22:00:00,extortion reported greater kailash shopkeeper threatened pay protection money
Racketeering was uncovered in Saket where a group was running an illegal betting operation.,Racketeering,"Saket, Delhi",03-01-2024,23:00:00,racketeering uncovered saket group running illegal betting operation
A gang fight erupted in Connaught Place between two groups over control of a construction site.,Gang Activity,"Connaught Place, Delhi",04-01-2024,21:10:00,gang fight erupted connaught place two group control construction site
